sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	library_layout	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5	forward_file_accession	reverse_file_accession
SE011	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp0_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE011_R1.fastq.gz	e4909f5b0ef3ac023774e14700c31310	bac1_reverse_SE011_R2.fastq.gz	85aea2fa688af64ad13a0f2244cf90a8	ERR10222681	ERR10222681
SE012	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp0_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE012_R1.fastq.gz	0df3724b11999102a6d37892c400c821	bac1_reverse_SE012_R2.fastq.gz	b9e50251d44d6aa0d27f700688b0e22b	ERR10222682	ERR10222682
SE013	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp5_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE013_R1.fastq.gz	a8d0be47e5a28c8a2c9d760486620134	bac1_reverse_SE013_R2.fastq.gz	38d6566520b6d5296ab0e5f7de32a2cd	ERR10222683	ERR10222683
SE014	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp5_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE014_R1.fastq.gz	5d4ca370ba9d69cbcb2ce994d49ea6b4	bac1_reverse_SE014_R2.fastq.gz	571ce5b63ba5129bbe02ff99f3dff718	ERR10222684	ERR10222684
SE015	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp5_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE015_R1.fastq.gz	9123282f5cbbe9ec062e8034d79a8302	bac1_reverse_SE015_R2.fastq.gz	60839e6dcb0008d7beb22379e90d73a8	ERR10222685	ERR10222685
SE016	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp5_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE016_R1.fastq.gz	46a05ffeaed0f897c569acc7fdbb958f	bac1_reverse_SE016_R2.fastq.gz	e7c0a22cba73eb95c20b12c99326a7d4	ERR10222686	ERR10222686
SE017	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp5_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE017_R1.fastq.gz	ef70b7dbffad336cf958c848d8c5ae27	bac1_reverse_SE017_R2.fastq.gz	ac1233b8333a8c5c290b79a9dd280ed5	ERR10222687	ERR10222687
SE018	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp5_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE018_R1.fastq.gz	5029f6653ae0148f236ebffd3aac6bda	bac1_reverse_SE018_R2.fastq.gz	fe60d9f4c085d66fb43256a2d852ec97	ERR10222688	ERR10222688
SE019	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp5_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE019_R1.fastq.gz	47897fd1002dab26222a5745d9dfc021	bac1_reverse_SE019_R2.fastq.gz	56e84bd3cf7b7f3067b60e8f31dab95c	ERR10222689	ERR10222689
SE020	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp5_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE020_R1.fastq.gz	8f06d756029015c5a4011d5d7fc6936e	bac1_reverse_SE020_R2.fastq.gz	9a0fe51209827c05df327ba142f102cf	ERR10222690	ERR10222690
SE021	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp5_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE021_R1.fastq.gz	a7c782f5a5a8d62a09d53b53c603ff08	bac1_reverse_SE021_R2.fastq.gz	437cac0c48a86af2640cb7f9f7584ea9	ERR10222691	ERR10222691
SE022	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp5_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE022_R1.fastq.gz	a93714a2932809bcd9e5d30eb8a8fb0e	bac1_reverse_SE022_R2.fastq.gz	d9fb741a86a69fcf8705e9578183c2d2	ERR10222692	ERR10222692
SE023	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp5_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE023_R1.fastq.gz	53799e38372d26df3f15e46e6cd8da38	bac1_reverse_SE023_R2.fastq.gz	85aaa852681507fc8f396dbbc51e2404	ERR10222693	ERR10222693
SE024	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp5_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE024_R1.fastq.gz	0cda0d4886e0fb248d58bd8881c7af09	bac1_reverse_SE024_R2.fastq.gz	f3cf7a1eee48269372d12a9db4e3cf95	ERR10222694	ERR10222694
SE025	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp10_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE025_R1.fastq.gz	16905a6a69bf14aa4d27f9352b048ac4	bac1_reverse_SE025_R2.fastq.gz	63c25105bf8172d689d7b91dfdfa2486	ERR10222695	ERR10222695
SE026	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp10_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE026_R1.fastq.gz	592dc06efc5d48d07cb4308522cb2632	bac1_reverse_SE026_R2.fastq.gz	a0b534565cbdc0bfd221008e95c8c51c	ERR10222696	ERR10222696
SE027	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp10_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE027_R1.fastq.gz	5c52b5a12f5678e2f6545482ec0143fd	bac1_reverse_SE027_R2.fastq.gz	3eab14b0855f23fec367486fa5d7c779	ERR10222697	ERR10222697
SE028	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp10_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE028_R1.fastq.gz	d993519b85831e0264910692c3a39fb4	bac1_reverse_SE028_R2.fastq.gz	7e88b637add13657b17be9b6a38c6738	ERR10222698	ERR10222698
SE029	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp10_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE029_R1.fastq.gz	643bda798d0ca0e44458f1d72cc5d3e3	bac1_reverse_SE029_R2.fastq.gz	db37f86a2a4507df469102272215b145	ERR10222699	ERR10222699
SE030	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp10_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE030_R1.fastq.gz	1e137b9836f868f345f1e45a4ed19cbf	bac1_reverse_SE030_R2.fastq.gz	43d22d04acd8166b51030b4866870bb9	ERR10222700	ERR10222700
SE031	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp10_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE031_R1.fastq.gz	8b50bdaf825333c93e5bfa6f52f9b6bb	bac1_reverse_SE031_R2.fastq.gz	bff2ccf4618b99af231603a9c8b8750f	ERR10222701	ERR10222701
SE032	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp10_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE032_R1.fastq.gz	35766fa396d8e19c71d49062295868a8	bac1_reverse_SE032_R2.fastq.gz	307d361014a0c961ca70dbe1ad9ead4e	ERR10222702	ERR10222702
SE033	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp10_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE033_R1.fastq.gz	dd3bea5fbe16e3b962e517b9e0b645aa	bac1_reverse_SE033_R2.fastq.gz	e76911cbd05f866ab6bf13266163ec0a	ERR10222703	ERR10222703
SE034	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp10_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE034_R1.fastq.gz	cf963dd4da0cd9cb977c640a2891029f	bac1_reverse_SE034_R2.fastq.gz	87cc53ccfa09f1d630507efea840b70d	ERR10222704	ERR10222704
SE035	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp10_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE035_R1.fastq.gz	cf492e79f8470ad22f8ef0707495b5a3	bac1_reverse_SE035_R2.fastq.gz	c2432c19b37cf75355b2b7ec3d1562b9	ERR10222705	ERR10222705
SE036	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp10_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE036_R1.fastq.gz	4c523e6ff2fa59fcedf33b9c50e8d1ef	bac1_reverse_SE036_R2.fastq.gz	8e65cf0df4ad437861b61a5842911c6e	ERR10222706	ERR10222706
SE037	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp20_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE037_R1.fastq.gz	620191ebb6b265c2d89efb4d7fc2c77c	bac1_reverse_SE037_R2.fastq.gz	5580cef6b0ac8790e401b3c69885506d	ERR10222707	ERR10222707
SE038	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp20_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE038_R1.fastq.gz	192a46b42c9c32ff8b3baa808736dc36	bac1_reverse_SE038_R2.fastq.gz	2db723e398e28a733d6b38074004f7a1	ERR10222708	ERR10222708
SE039	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp20_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE039_R1.fastq.gz	3a0a0dad7ded2ddf5328df39d2282c9c	bac1_reverse_SE039_R2.fastq.gz	fe6d26049b82d4701bf01d2d9eba7eea	ERR10222709	ERR10222709
SE040	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp20_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE040_R1.fastq.gz	0feef2ce0ecf7a14f870a58b42ec9852	bac1_reverse_SE040_R2.fastq.gz	305035503f7df932efdd1615ee90bf4d	ERR10222710	ERR10222710
SE041	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp20_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE041_R1.fastq.gz	0311b9d1c424e9d9574b43363c216994	bac1_reverse_SE041_R2.fastq.gz	79eef7d481ecbefd04a8bba0e4884a86	ERR10222711	ERR10222711
SE042	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp20_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE042_R1.fastq.gz	c2d7b66757d99c3ed013a52a6e40056a	bac1_reverse_SE042_R2.fastq.gz	1ed60b81c6e485caebd5da12665ae3e4	ERR10222712	ERR10222712
SE043	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp20_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE043_R1.fastq.gz	b2ec3dbdbd743f511d7d3bbe3bb1d3f2	bac1_reverse_SE043_R2.fastq.gz	1cef923535675bd9d8f497a61a480a44	ERR10222713	ERR10222713
SE044	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp20_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE044_R1.fastq.gz	c9d980115a5558b2b7cab34f7fe918da	bac1_reverse_SE044_R2.fastq.gz	acad7404c50d46eec76fd87a36ce152a	ERR10222714	ERR10222714
SE045	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp20_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE045_R1.fastq.gz	a4fe137fcff79e2450d4b62012a6f40e	bac1_reverse_SE045_R2.fastq.gz	e79136c416c9c9dbb8d57314062ad6a0	ERR10222715	ERR10222715
SE046	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp20_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE046_R1.fastq.gz	ccd8359b89e1e8d0b20392dd028795a2	bac1_reverse_SE046_R2.fastq.gz	36517f8b34cffd56fcc2523690d08163	ERR10222716	ERR10222716
SE047	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp20_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE047_R1.fastq.gz	a86cfe9e37ca4f3435b4ce1848b2b77a	bac1_reverse_SE047_R2.fastq.gz	97a066ee8d9648fd09856dec7bb2e9bb	ERR10222717	ERR10222717
SE048	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp20_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE048_R1.fastq.gz	7d5820823053e363412181a18dfb6650	bac1_reverse_SE048_R2.fastq.gz	399715b61469e9a1f6e038380637613d	ERR10222718	ERR10222718
SE049	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp40_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE049_R1.fastq.gz	fe9fa4f8509445766f9c632ec0d1c11e	bac1_reverse_SE049_R2.fastq.gz	767cc158904a034b2eaaf043b0a411cf	ERR10222719	ERR10222719
SE050	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp40_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE050_R1.fastq.gz	e6b962a30358d80b3e1170fc8582585d	bac1_reverse_SE050_R2.fastq.gz	09454c7c24e1d4766ad99ad79c7589ba	ERR10222720	ERR10222720
SE051	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp40_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE051_R1.fastq.gz	fc362f131e85c7ac68c4b2e925570abe	bac1_reverse_SE051_R2.fastq.gz	6b9b0a8ed54accb1ffd7e387f7954aee	ERR10222721	ERR10222721
SE052	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp40_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE052_R1.fastq.gz	e07d8079662f89972dbaedb2d18ef025	bac1_reverse_SE052_R2.fastq.gz	a39d9b02b84d2b5770ff314daabcbc08	ERR10222722	ERR10222722
SE053	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp40_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE053_R1.fastq.gz	27b2f1d408fc845ac07a9da5b0e94020	bac1_reverse_SE053_R2.fastq.gz	d9906fb2e6df22222839fecfc673617a	ERR10222723	ERR10222723
SE054	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp40_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE054_R1.fastq.gz	08de0d8cf69f0b8754dc75b4f677a486	bac1_reverse_SE054_R2.fastq.gz	d82b943d5d7ff802cc5090a3e4660d0e	ERR10222724	ERR10222724
SE055	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp40_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE055_R1.fastq.gz	937b235f8fa9eed09fb87c82c7d489cf	bac1_reverse_SE055_R2.fastq.gz	2de5301f4b2a520b9495f0e8806f54f0	ERR10222725	ERR10222725
SE056	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp40_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE056_R1.fastq.gz	d86353044cddd979261b1ab30af80544	bac1_reverse_SE056_R2.fastq.gz	194fcc1e4b6ab22c4c16b5410ca7500d	ERR10222726	ERR10222726
SE057	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp40_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE057_R1.fastq.gz	78420eca4b51ff192c0c6275f578f5a9	bac1_reverse_SE057_R2.fastq.gz	7e4431c9812eda8b6361b62a75037b8e	ERR10222727	ERR10222727
SE058	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp40_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE058_R1.fastq.gz	1f01c4ac5775c13ab2ffcfe6fab3ef22	bac1_reverse_SE058_R2.fastq.gz	9184b0f93a4dc400f4b5e298e1d0f30a	ERR10222728	ERR10222728
SE059	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp40_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE059_R1.fastq.gz	4e56ac7e610edf908c3d841d9a5ab3ad	bac1_reverse_SE059_R2.fastq.gz	f04823e2c0acc3f725dabbd9baefe31b	ERR10222729	ERR10222729
SE060	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp40_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE060_R1.fastq.gz	cd6cc97feac98796839eecf631077c45	bac1_reverse_SE060_R2.fastq.gz	51ff02185e4e563b012e355280aecb71	ERR10222730	ERR10222730
SE061	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp5_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE061_R1.fastq.gz	69237a635c3e95b431dc561ee90770b1	bac1_reverse_SE061_R2.fastq.gz	a00441d22df5208dae754262203aa959	ERR10222731	ERR10222731
SE062	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp5_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE062_R1.fastq.gz	1bf13de08ee6e876c8defc67b8c0cbcf	bac1_reverse_SE062_R2.fastq.gz	68ade4338c00ee926e3e355eacb968e5	ERR10222732	ERR10222732
SE063	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp5_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE063_R1.fastq.gz	cfb5b17df04141cf68d36e28b6cf3658	bac1_reverse_SE063_R2.fastq.gz	b977f5b0ae5e025e49191e9cba294f43	ERR10222733	ERR10222733
SE064	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp5_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE064_R1.fastq.gz	dffe3e04a81a8bec083ea73278f91a3a	bac1_reverse_SE064_R2.fastq.gz	984c536bc7f815eaf4cdbdfdfac919a9	ERR10222734	ERR10222734
SE065	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp5_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE065_R1.fastq.gz	869d1e7959902c25559e0b8e6ab647fe	bac1_reverse_SE065_R2.fastq.gz	a6eb79d0cfe2ca98e4b0fb839ca956c8	ERR10222735	ERR10222735
SE066	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp5_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE066_R1.fastq.gz	509cb0a76f8b1555bbdd751acafdd707	bac1_reverse_SE066_R2.fastq.gz	7ed4dca9606133df179630608e601ad2	ERR10222736	ERR10222736
SE067	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp5_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE067_R1.fastq.gz	56495d5d3f1daab421780b97f86980e5	bac1_reverse_SE067_R2.fastq.gz	f74284c3ad2b94f4697d4bb095344706	ERR10222737	ERR10222737
SE068	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp5_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE068_R1.fastq.gz	3019976d66f117d37df13e12cd40b9d3	bac1_reverse_SE068_R2.fastq.gz	bd3a31373e3db32e9ec264f8cfad47df	ERR10222738	ERR10222738
SE069	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp5_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE069_R1.fastq.gz	30582a92128e1a45e9b54a241e50b2bf	bac1_reverse_SE069_R2.fastq.gz	4a7c7df2cbd542714134a189266e6b4e	ERR10222739	ERR10222739
SE070	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp5_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE070_R1.fastq.gz	dd3c1f7540c4c876d14605516925fd3a	bac1_reverse_SE070_R2.fastq.gz	771c893cb41fe173b317135de6c2e341	ERR10222740	ERR10222740
SE071	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp5_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE071_R1.fastq.gz	3797dcc05c9e0664cdce058c71289478	bac1_reverse_SE071_R2.fastq.gz	754ab411d8f7174ce7eed3abe5a82753	ERR10222741	ERR10222741
SE072	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp5_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE072_R1.fastq.gz	29df982f2b572e1ed83b387c861f1f2c	bac1_reverse_SE072_R2.fastq.gz	684b1aa3a75ab541e733f1d8783f3172	ERR10222742	ERR10222742
SE073	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp20_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE073_R1.fastq.gz	8f4f4d014188e3e469fb8b64cba145ab	bac1_reverse_SE073_R2.fastq.gz	2cd88f482d4160ef16e3dc1791cec221	ERR10222743	ERR10222743
SE074	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp20_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE074_R1.fastq.gz	d85d477e7372ca58ff5f713833abfcb6	bac1_reverse_SE074_R2.fastq.gz	ddfbe306b945568d7cfd880b7831227d	ERR10222744	ERR10222744
SE075	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp20_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE075_R1.fastq.gz	fb22df129c6e7b170d2f7de354971482	bac1_reverse_SE075_R2.fastq.gz	22da1e70a8d8f672a669634a057d20c0	ERR10222745	ERR10222745
SE076	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp20_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE076_R1.fastq.gz	69dfa204aaf5d46f168a8b4601e306ef	bac1_reverse_SE076_R2.fastq.gz	fbec0f7716ac830404f96e2fc27dedc1	ERR10222746	ERR10222746
SE077	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp20_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE077_R1.fastq.gz	9fb8dec6383d72c895557f737fd46c17	bac1_reverse_SE077_R2.fastq.gz	d965e9590a9db6c9ae6ec8405fe3301a	ERR10222747	ERR10222747
SE078	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp20_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE078_R1.fastq.gz	7161e15dd35687ed564155e33020025d	bac1_reverse_SE078_R2.fastq.gz	fb8bffe7ec074b9e897e395b28431ad1	ERR10222748	ERR10222748
SE079	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp20_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE079_R1.fastq.gz	5dd7087be515a75eae2ef2b089babb33	bac1_reverse_SE079_R2.fastq.gz	71ed07e539a9d34147ad42e9eb86b507	ERR10222749	ERR10222749
SE080	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp20_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE080_R1.fastq.gz	5593a7b2fe6ebde25c4241606a2b536c	bac1_reverse_SE080_R2.fastq.gz	31e5a2d64719426547bd615a80874c54	ERR10222750	ERR10222750
SE081	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp20_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE081_R1.fastq.gz	c23f1c186b18843edfbff3188ef3f951	bac1_reverse_SE081_R2.fastq.gz	66837c4074090c048b2b5bfa067d05ad	ERR10222751	ERR10222751
SE082	PRJEB56039	Illumina MiSeq	bac1_reverse_open_temp20_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE082_R1.fastq.gz	9eeedcc2229f09fbad8cc3393269e38f	bac1_reverse_SE082_R2.fastq.gz	d461c435f63550df1c15d254a1fa60c6	ERR10222752	ERR10222752
